Run	Assay Type	AssemblyName	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	ENA-FIRST-PUBLIC (run)	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE (run)	ENA-LAST-UPDATE	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	population	ReleaseDate	create_date	version	Sample Name	SRA Study	Super_Population_Code	common_name	external_id	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	Sample_name	Scientific_Name	Submitter_Id
ERR3988774	WGS	GCA_000001405.24	300	110908058100	PRJEB36890	SAMEA6603586	9502615975	NYGC	public	sra,run.zq,cram	s3,gs,ncbi	s3.us-east-1,ncbi.public,gs.us-east1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990639	Illumina NovaSeq 6000	HG00465	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-25T04:09:00Z	1	HG00465	ERP120144	EAS									
ERR3988775	WGS	GCA_000001405.24	300	115915192800	PRJEB36890	SAMEA6603587	11621866196	NYGC	public	cram,run.zq,sra	s3,ncbi,gs	gs.us-east1,s3.us-east-1,ncbi.public	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990640	Illumina NovaSeq 6000	HG00474	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-25T04:56:00Z	1	HG00474	ERP120144	EAS									
ERR3988776	WGS	GCA_000001405.24	300	118443746700	PRJEB36890	SAMEA6603588	9867925382	NYGC	public	cram,sra,run.zq	ncbi,gs,s3	ncbi.public,gs.us-east1,s3.us-east-1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990641	Illumina NovaSeq 6000	HG00477	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-25T05:09:00Z	1	HG00477	ERP120144	EAS									
ERR3988777	WGS	GCA_000001405.24	300	110651212800	PRJEB36890	SAMEA6603589	9535322307	NYGC	public	cram,run.zq,sra	gs,ncbi,s3	gs.us-east1,ncbi.public,s3.us-east-1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990642	Illumina NovaSeq 6000	HG00480	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-25T04:39:00Z	1	HG00480	ERP120144	EAS									
ERR3988778	WGS	GCA_000001405.24	300	103653033000	PRJEB36890	SAMEA6603590	8638031565	NYGC	public	sra,run.zq,cram	s3,gs,ncbi	gs.us-east1,ncbi.public,s3.us-east-1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990643	Illumina NovaSeq 6000	HG00501	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-25T03:57:00Z	1	HG00501	ERP120144	EAS									
ERR3988779	WGS	GCA_000001405.24	300	108704793600	PRJEB36890	SAMEA6603591	9256434548	NYGC	public	sra,run.zq,cram	gs,ncbi,s3	s3.us-east-1,ncbi.public,gs.us-east1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990644	Illumina NovaSeq 6000	HG00502	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-25T04:48:00Z	1	HG00502	ERP120144	EAS									
ERR3988780	WGS	GCA_000001405.24	300	115318658700	PRJEB36890	SAMEA6603592	9827909485	NYGC	public	cram,sra,run.zq	s3,ncbi,gs	s3.us-east-1,gs.us-east1,ncbi.public	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990645	Illumina NovaSeq 6000	HG00512	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-25T04:28:00Z	1	HG00512	ERP120144	EAS									
ERR3988781	WGS	GCA_000001405.24	300	114752493600	PRJEB36890	SAMEA6603593	9655745045	NYGC	public	cram,run.zq,sra	gs,s3,ncbi	s3.us-east-1,gs.us-east1,ncbi.public	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990646	Illumina NovaSeq 6000	HG00514	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-25T04:52:00Z	1	HG00514	ERP120144	EAS									
ERR3988782	WGS	GCA_000001405.24	300	112249281300	PRJEB36890	SAMEA6603594	9652671020	NYGC	public	sra,run.zq	gs,ncbi,s3	ncbi.public,s3.us-east-1,gs.us-east1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990647	Illumina NovaSeq 6000	HG00526	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-25T06:03:00Z	1	HG00526	ERP120144	EAS									
ERR3988783	WGS	GCA_000001405.24	300	115086816300	PRJEB36890	SAMEA6603595	11249437449	NYGC	public	sra,cram,run.zq	s3,gs,ncbi	s3.us-east-1,gs.us-east1,ncbi.public	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990648	Illumina NovaSeq 6000	HG00532	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-25T05:02:00Z	1	HG00532	ERP120144	EAS									
ERR3988784	WGS	GCA_000001405.24	300	109494646800	PRJEB36890	SAMEA6603596	9274843392	NYGC	public	sra,run.zq,cram	gs,ncbi,s3	s3.us-east-1,ncbi.public,gs.us-east1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990649	Illumina NovaSeq 6000	HG00535	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-25T10:52:00Z	1	HG00535	ERP120144	EAS									
ERR3988785	WGS	GCA_000001405.24	300	113594700600	PRJEB36890	SAMEA6603597	9744114450	NYGC	public	sra,cram,run.zq	ncbi,s3,gs	gs.us-east1,ncbi.public,s3.us-east-1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990650	Illumina NovaSeq 6000	HG00538	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-25T05:03:00Z	1	HG00538	ERP120144	EAS									
ERR3988786	WGS	GCA_000001405.24	300	110286351600	PRJEB36890	SAMEA6603598	9317284558	NYGC	public	run.zq,sra	gs,s3,ncbi	ncbi.public,s3.us-east-1,gs.us-east1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990651	Illumina NovaSeq 6000	HG00544	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-25T06:02:00Z	1	HG00544	ERP120144	EAS									
ERR3988787	WGS	GCA_000001405.24	300	115319557500	PRJEB36890	SAMEA6603599	9701439278	NYGC	public	cram,sra,run.zq	s3,ncbi,gs	gs.us-east1,s3.us-east-1,ncbi.public	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990652	Illumina NovaSeq 6000	HG00552	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	PUR	2020-04-24T00:00:00Z	2020-04-25T06:23:00Z	1	HG00552	ERP120144	AMR									
ERR3988788	WGS	GCA_000001405.24	300	107102229600	PRJEB36890	SAMEA6603600	12963459023	NYGC	public	run.zq,sra	ncbi,s3,gs	gs.us-east1,ncbi.public,s3.us-east-1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990653	Illumina NovaSeq 6000	HG00555	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	PUR	2020-04-24T00:00:00Z	2020-04-25T12:04:00Z	1	HG00555	ERP120144	AMR									
ERR3988789	WGS	GCA_000001405.24	300	109289181000	PRJEB36890	SAMEA6603601	9516235094	NYGC	public	sra,cram,run.zq	ncbi,s3,gs	s3.us-east-1,ncbi.public,gs.us-east1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990654	Illumina NovaSeq 6000	HG00558	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-25T11:38:00Z	1	HG00558	ERP120144	EAS									
ERR3988790	WGS	GCA_000001405.24	300	116497863300	PRJEB36890	SAMEA6603602	9883681597	NYGC	public	run.zq,cram,sra	s3,ncbi,gs	s3.us-east-1,ncbi.public,gs.us-east1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990655	Illumina NovaSeq 6000	HG00561	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-25T04:46:00Z	1	HG00561	ERP120144	EAS									
ERR3988791	WGS	GCA_000001405.24	300	103984740900	PRJEB36890	SAMEA6603603	8916854038	NYGC	public	cram,run.zq,sra	ncbi,gs,s3	gs.us-east1,ncbi.public,s3.us-east-1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990656	Illumina NovaSeq 6000	HG00567	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-25T04:29:00Z	1	HG00567	ERP120144	EAS									
ERR3988792	WGS	GCA_000001405.24	300	106916226300	PRJEB36890	SAMEA6603604	12402886765	NYGC	public	run.zq,cram,sra	s3,ncbi,gs	ncbi.public,gs.us-east1,s3.us-east-1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990657	Illumina NovaSeq 6000	HG00577	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-25T05:48:00Z	1	HG00577	ERP120144	EAS									
ERR3988793	WGS	GCA_000001405.24	300	111183533100	PRJEB36890	SAMEA6603605	9456634271	NYGC	public	cram,sra,run.zq	gs,s3,ncbi	s3.us-east-1,gs.us-east1,ncbi.public	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990658	Illumina NovaSeq 6000	HG00578	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-25T04:37:00Z	1	HG00578	ERP120144	EAS									
ERR3988794	WGS	GCA_000001405.24	300	111370588500	PRJEB36890	SAMEA6603606	9685968942	NYGC	public	cram,run.zq,sra	s3,gs,ncbi	gs.us-east1,s3.us-east-1,ncbi.public	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990659	Illumina NovaSeq 6000	HG00579	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-25T21:44:00Z	1	HG00579	ERP120144	EAS									
ERR3988795	WGS	GCA_000001405.24	300	107629415700	PRJEB36890	SAMEA6603607	9050304156	NYGC	public	sra,cram,run.zq	s3,ncbi,gs	s3.us-east-1,ncbi.public,gs.us-east1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990660	Illumina NovaSeq 6000	HG00582	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-25T04:21:00Z	1	HG00582	ERP120144	EAS									
ERR3988796	WGS	GCA_000001405.24	300	107402307900	PRJEB36890	SAMEA6603608	12647070179	NYGC	public	cram,run.zq,sra	gs,ncbi,s3	gs.us-east1,ncbi.public,s3.us-east-1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990661	Illumina NovaSeq 6000	HG00585	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-25T05:01:00Z	1	HG00585	ERP120144	EAS									
ERR3988797	WGS	GCA_000001405.24	300	115581610800	PRJEB36890	SAMEA6603609	11239855990	NYGC	public	cram,run.zq,sra	s3,ncbi,gs	s3.us-east-1,ncbi.public,gs.us-east1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990662	Illumina NovaSeq 6000	HG00591	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-25T04:35:00Z	1	HG00591	ERP120144	EAS									
ERR3988798	WGS	JTFH01	300	118951770300	PRJEB36890	SAMEA6603610	12168939503	NYGC	public	sra,run.zq,cram	ncbi,s3,gs	gs.us-east1,s3.us-east-1,ncbi.public	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990663	Illumina NovaSeq 6000	HG00594	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-29T00:48:00Z	1	HG00594	ERP120144	EAS									
ERR3988799	WGS	GCA_000001405.24	300	111475988700	PRJEB36890	SAMEA6603611	9642248081	NYGC	public	cram,run.zq,sra	ncbi,gs,s3	gs.us-east1,ncbi.public,s3.us-east-1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990664	Illumina NovaSeq 6000	HG00597	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-25T04:30:00Z	1	HG00597	ERP120144	EAS									
ERR3988800	WGS	GCA_000001405.24	300	116006773200	PRJEB36890	SAMEA6603612	11582060433	NYGC	public	run.zq,cram,sra	s3,ncbi,gs	ncbi.public,s3.us-east-1,gs.us-east1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990665	Illumina NovaSeq 6000	HG00609	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-26T00:26:00Z	1	HG00609	ERP120144	EAS									
ERR3988801	WGS	GCA_000001405.24	300	112502534700	PRJEB36890	SAMEA6603613	9821888351	NYGC	public	run.zq,cram,sra	ncbi,gs,s3	ncbi.public,gs.us-east1,s3.us-east-1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990666	Illumina NovaSeq 6000	HG00612	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-25T05:16:00Z	1	HG00612	ERP120144	EAS									
ERR3988802	WGS	GCA_000001405.24	300	112421758800	PRJEB36890	SAMEA6603614	9421788899	NYGC	public	cram,sra,run.zq	s3,ncbi,gs	ncbi.public,gs.us-east1,s3.us-east-1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990667	Illumina NovaSeq 6000	HG00615	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-25T05:35:00Z	1	HG00615	ERP120144	EAS									
ERR3988803	WGS	GCA_000001405.24	300	108833472600	PRJEB36890	SAMEA6603615	9349877860	NYGC	public	sra,cram,run.zq	s3,gs,ncbi	gs.us-east1,s3.us-east-1,ncbi.public	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990668	Illumina NovaSeq 6000	HG00621	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-25T04:19:00Z	1	HG00621	ERP120144	EAS									
ERR3988804	WGS	GCA_000001405.24	300	109503595200	PRJEB36890	SAMEA6603616	12741669597	NYGC	public	cram,sra,run.zq	gs,s3,ncbi	ncbi.public,gs.us-east1,s3.us-east-1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990669	Illumina NovaSeq 6000	HG00627	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-25T04:46:00Z	1	HG00627	ERP120144	EAS									
ERR3988805	WGS	GCA_000001405.24	300	116744591400	PRJEB36890	SAMEA6603617	9688582937	NYGC	public	sra,cram,run.zq	gs,s3,ncbi	ncbi.public,gs.us-east1,s3.us-east-1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990670	Illumina NovaSeq 6000	HG00630	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-25T13:28:00Z	1	HG00630	ERP120144	EAS									
ERR3988806	WGS	GCA_000001405.24	300	112599090600	PRJEB36890	SAMEA6603618	9253491645	NYGC	public	cram,sra,run.zq	s3,ncbi,gs	ncbi.public,s3.us-east-1,gs.us-east1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990671	Illumina NovaSeq 6000	HG00635	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-25T05:35:00Z	1	HG00635	ERP120144	EAS									
ERR3988807	WGS	GCA_000001405.24	300	119204553300	PRJEB36890	SAMEA6603619	11450999602	NYGC	public	sra,run.zq,cram	s3,ncbi,gs	ncbi.public,s3.us-east-1,gs.us-east1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990672	Illumina NovaSeq 6000	HG00636	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-25T05:13:00Z	1	HG00636	ERP120144	EAS									
ERR3988808	WGS	GCA_000001405.24	300	103297494000	PRJEB36890	SAMEA6603620	12483109749	NYGC	public	sra,cram,run.zq	ncbi,gs,s3	gs.us-east1,ncbi.public,s3.us-east-1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990673	Illumina NovaSeq 6000	HG00639	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	PUR	2020-04-24T00:00:00Z	2020-04-25T04:59:00Z	1	HG00639	ERP120144	AMR									
ERR3988809	WGS	GCA_000001405.24	300	115511069100	PRJEB36890	SAMEA6603621	9521325271	NYGC	public	cram,run.zq,sra	s3,ncbi,gs	ncbi.public,s3.us-east-1,gs.us-east1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990674	Illumina NovaSeq 6000	HG00642	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	PUR	2020-04-24T00:00:00Z	2020-04-25T05:16:00Z	1	HG00642	ERP120144	AMR									
ERR3988810	WGS	GCA_000001405.24	300	111417625500	PRJEB36890	SAMEA6603622	9421929756	NYGC	public	sra,run.zq,cram	gs,ncbi,s3	ncbi.public,s3.us-east-1,gs.us-east1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990675	Illumina NovaSeq 6000	HG00652	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-25T13:57:00Z	1	HG00652	ERP120144	EAS									
ERR3988811	WGS	GCA_000001405.24	300	113870500500	PRJEB36890	SAMEA6603623	9552957098	NYGC	public	run.zq,sra	gs,ncbi,s3	ncbi.public,gs.us-east1,s3.us-east-1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990676	Illumina NovaSeq 6000	HG00655	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-25T11:37:00Z	1	HG00655	ERP120144	EAS									
ERR3988812	WGS	GCA_000001405.24	300	110560325400	PRJEB36890	SAMEA6603624	9240674351	NYGC	public	cram,run.zq,sra	s3,ncbi,gs	ncbi.public,gs.us-east1,s3.us-east-1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990677	Illumina NovaSeq 6000	HG00658	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-25T04:58:00Z	1	HG00658	ERP120144	EAS									
ERR3988813	WGS	GCA_000001405.24	300	120796717800	PRJEB36890	SAMEA6603625	11352910078	NYGC	public	cram,run.zq,sra	s3,ncbi,gs	ncbi.public,s3.us-east-1,gs.us-east1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990678	Illumina NovaSeq 6000	HG00664	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-25T06:03:00Z	1	HG00664	ERP120144	EAS									
ERR3988814	WGS	JTFH01	300	106082029200	PRJEB36890	SAMEA6603626	9965914638	NYGC	public	sra,run.zq	gs,s3,ncbi	ncbi.public,gs.us-east1,s3.us-east-1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990679	Illumina NovaSeq 6000	HG00673	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-27T15:34:00Z	1	HG00673	ERP120144	EAS									
ERR3988815	WGS	GCA_000001405.24	300	115030119000	PRJEB36890	SAMEA6603627	10992945289	NYGC	public	run.zq,cram,sra	ncbi,gs,s3	ncbi.public,s3.us-east-1,gs.us-east1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990680	Illumina NovaSeq 6000	HG00685	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-25T06:18:00Z	1	HG00685	ERP120144	EAS									
